epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5387705564498901,0.0005000000237487257,1.1476569175720215,0.6466575860977173,1.08340322971344
1,0.6570150852203369,0.0005000000237487257,0.8707553148269653,0.23533424735069275,1.5714446306228638
2,0.6984764933586121,0.0005000000237487257,0.7196010947227478,0.3090040981769562,1.5593593120574951
3,0.7202304005622864,0.0005000000237487257,0.6618912816047668,0.3826739490032196,1.3304318189620972
4,0.7414538264274597,0.0002500000118743628,0.6154399514198303,0.3888131082057953,1.3153809309005737
5,0.7510043382644653,0.0002500000118743628,0.5900550484657288,0.3751705288887024,1.2907075881958008
6,0.7563101649284363,0.0002500000118743628,0.5692886114120483,0.38813096284866333,1.4584569931030273
7,0.7661638855934143,0.0001250000059371814,0.5587523579597473,0.5572987794876099,1.0088385343551636
8,0.7732888460159302,0.0001250000059371814,0.5428182482719421,0.5804911255836487,1.0297009944915771
9,0.7769271731376648,0.0001250000059371814,0.52947598695755,0.6248294711112976,0.8798882961273193
10,0.7809444665908813,0.0001250000059371814,0.5254946947097778,0.7489768266677856,0.5688781142234802
11,0.7798832654953003,0.0001250000059371814,0.5223546624183655,0.8219645023345947,0.45844766497612
12,0.784127950668335,0.0001250000059371814,0.513683557510376,0.8246930241584778,0.439074844121933
13,0.7844311594963074,0.0001250000059371814,0.5111837983131409,0.8110504746437073,0.454263299703598
14,0.7883726358413696,0.0001250000059371814,0.5005486011505127,0.8253751993179321,0.4270310699939728
15,0.7945122122764587,0.0001250000059371814,0.49176767468452454,0.8301500678062439,0.41242867708206177
16,0.7961040139198303,0.0001250000059371814,0.49124279618263245,0.8308321833610535,0.4288918673992157
17,0.7963314056396484,0.0001250000059371814,0.4837741255760193,0.8253751993179321,0.4257524013519287
18,0.8012582659721375,0.0001250000059371814,0.4761064946651459,0.8260573148727417,0.4101077914237976
19,0.8085348010063171,0.0001250000059371814,0.4662244915962219,0.8362892270088196,0.39693278074264526
20,0.8061851263046265,0.0001250000059371814,0.47263357043266296,0.8287858366966248,0.39619502425193787
21,0.8067156672477722,0.0001250000059371814,0.46241360902786255,0.8437926173210144,0.38530275225639343
22,0.8170999884605408,0.0001250000059371814,0.45088866353034973,0.83560711145401,0.38923490047454834
23,0.8150534629821777,0.0001250000059371814,0.44923338294029236,0.8349249362945557,0.3846719563007355
24,0.815508246421814,0.0001250000059371814,0.4495483338832855,0.8390177488327026,0.37745150923728943
25,0.817554771900177,0.0001250000059371814,0.4437161982059479,0.8526602983474731,0.37642359733581543
26,0.8188433051109314,0.0001250000059371814,0.44415679574012756,0.832878589630127,0.38658449053764343
27,0.8167967796325684,0.0001250000059371814,0.4453663229942322,0.8574352264404297,0.3660092353820801
28,0.8233911991119385,0.0001250000059371814,0.4306766092777252,0.8396998643875122,0.3684099018573761
29,0.823921799659729,0.0001250000059371814,0.4311768710613251,0.8396998643875122,0.366726279258728
30,0.8260441422462463,0.0001250000059371814,0.43127909302711487,0.8526602983474731,0.3502957820892334
31,0.824907124042511,0.0001250000059371814,0.4261026978492737,0.8383356332778931,0.3652232587337494
32,0.8280148506164551,0.0001250000059371814,0.4242079257965088,0.8506138920783997,0.35855627059936523
33,0.8274842500686646,0.0001250000059371814,0.41796359419822693,0.8587994575500488,0.3442620038986206
34,0.8328658938407898,0.0001250000059371814,0.4148292541503906,0.8560709357261658,0.342525839805603
35,0.8336997032165527,0.0001250000059371814,0.41139736771583557,0.8417462706565857,0.36435744166374207
36,0.8329417109489441,0.0001250000059371814,0.41496410965919495,0.8451569080352783,0.3592056632041931
37,0.8343818783760071,0.0001250000059371814,0.40881842374801636,0.8635743260383606,0.338902086019516
38,0.8371863961219788,0.0001250000059371814,0.40178555250167847,0.8540245294570923,0.33901718258857727
39,0.841127872467041,0.0001250000059371814,0.3994203507900238,0.8547067046165466,0.3376922309398651
40,0.8414310812950134,0.0001250000059371814,0.4001549780368805,0.8458390235900879,0.3517901599407196
41,0.8418858647346497,0.0001250000059371814,0.39560410380363464,0.8321964740753174,0.3703988790512085
42,0.8449177742004395,0.0001250000059371814,0.39669856429100037,0.860163688659668,0.33304858207702637
43,0.8434017896652222,0.0001250000059371814,0.38864362239837646,0.8751705288887024,0.3223854899406433
44,0.8442355990409851,0.0001250000059371814,0.38899195194244385,0.8703956604003906,0.3200851082801819
45,0.8449177742004395,0.0001250000059371814,0.38655194640159607,0.8669849634170532,0.3212960660457611
46,0.8480254411697388,0.0001250000059371814,0.3862283229827881,0.8560709357261658,0.345828115940094
47,0.8466610908508301,0.0001250000059371814,0.3868695795536041,0.8676671385765076,0.3190467953681946
48,0.850981593132019,0.0001250000059371814,0.38157323002815247,0.8744884133338928,0.3160640597343445
49,0.8536344766616821,0.0001250000059371814,0.38063663244247437,0.8553888201713562,0.33563706278800964
50,0.8502236008644104,0.0001250000059371814,0.3768097758293152,0.8710777759552002,0.31425923109054565
51,0.8552262783050537,0.0001250000059371814,0.37228670716285706,0.8301500678062439,0.37374740839004517
52,0.8531039357185364,0.0001250000059371814,0.3687514066696167,0.8690313696861267,0.31641608476638794
53,0.8515121936798096,0.0001250000059371814,0.37197190523147583,0.8478854298591614,0.33725813031196594
54,0.8549988865852356,6.25000029685907e-05,0.3687327206134796,0.8499317765235901,0.3333261013031006
55,0.8569695949554443,6.25000029685907e-05,0.36446014046669006,0.8594815731048584,0.3259209990501404
56,0.8532555103302002,6.25000029685907e-05,0.3673441708087921,0.860163688659668,0.32349327206611633
57,0.8571212291717529,3.125000148429535e-05,0.36200574040412903,0.8656207323074341,0.31887221336364746
